ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD)
1,24,7131,544,494,303,81,21,1937,402,1587,619,886,154,291
2,21,5311,841,288,406,375,98,1660,262,145,2902,1032,237,296
3,25,4125,784,501,79,327,27,1146,586,2991,2407,1284,85,157
4,22,3882,421,254,298,38,88,1056,160,2157,4452,210,232,381
5,24,2941,424,154,475,384,15,1536,476,763,3004,1328,186,151
6,27,4479,1872,281,82,319,52,203,459,672,3914,1644,198,63
7,20,3297,469,309,278,26,44,517,75,2129,2486,163,55,142
8,24,5890,423,475,61,268,63,1832,546,1653,3402,553,26,155
9,25,5509,1358,570,167,136,71,1974,438,1721,3596,1745,75,386
10,22,6350,1410,174,399,87,78,516,107,2796,1677,1004,270,392
11,21,2894,945,376,204,53,91,442,628,1012,4039,1293,132,145
12,25,5781,1085,527,472,213,25,1615,675,739,1304,406,240,294
13,25,2769,500,232,442,344,17,1809,27,2763,4093,218,134,83
14,20,6232,668,442,295,74,98,688,496,2845,1963,1597,121,315
15,23,6887,1096,524,454,285,99,849,234,1008,3307,1018,281,251
16,22,5214,376,158,381,61,95,832,571,2325,1361,291,90,70
17,19,2029,358,444,296,316,40,338,516,968,4294,1448,255,156
18,25,5123,730,588,78,250,19,1461,522,1129,1787,188,224,177
19,23,7664,937,281,210,397,65,1468,264,952,1073,146,244,75
20,19,4458,1823,557,284,29,85,1159,497,406,1165,196,91,100
21,22,4414,408,505,239,377,79,386,328,2695,3599,1255,85,251
22,18,6389,1307,438,166,147,29,1048,250,2474,2717,1130,24,345
23,27,5091,1601,420,320,198,14,505,402,1916,3153,1115,229,147
24,23,3647,367,163,307,212,32,1348,174,494,4126,915,239,145
25,26,6073,1392,426,229,111,18,1718,194,2447,3055,1784,274,336
26,18,7218,1488,359,422,388,67,679,134,848,659,592,273,99
27,27,4869,1812,292,221,250,68,1361,409,2432,4642,741,119,396
28,20,2439,604,242,487,97,89,689,330,429,2582,1075,209,376
29,24,2025,973,203,323,104,63,884,319,2197,1129,1361,235,352
30,21,7977,664,559,308,49,55,1118,37,2131,2274,1211,194,194
31,26,1501,1120,505,184,232,31,1568,31,872,4466,1690,40,164
32,20,1874,1702,313,220,68,73,622,423,1745,1468,1585,111,145
33,22,3840,642,341,259,284,17,1169,251,1832,2102,953,268,201
34,20,5505,1246,530,285,164,29,892,624,477,3266,779,108,238
35,24,4552,1198,308,471,88,60,952,297,1887,2471,1295,294,297
36,22,6148,1877,192,470,77,87,1254,372,1723,1151,380,275,102
37,26,3865,1677,529,235,204,48,783,322,1099,92,666,149,160
38,24,3025,1739,241,466,81,46,1871,560,1948,2566,453,295,353
39,19,7447,1432,533,413,327,59,494,489,1661,1281,557,225,114
